group1,group2,meandiff,p-adj,lower,upper,reject,dbname
A,B,-0.0,0.1587,-0.0,0.0,False,sp|A0AVT1|UBA6_HUMAN
A,K,-0.0,0.0005,-0.0001,-0.0,True,sp|A0AVT1|UBA6_HUMAN
B,K,-0.0,0.0688,-0.0,0.0,False,sp|A0AVT1|UBA6_HUMAN
A,B,-0.0,0.1186,-0.0,0.0,False,sp|A6NFA0|S31F3_HUMAN
A,K,-0.0,0.0008,-0.0,-0.0,True,sp|A6NFA0|S31F3_HUMAN
B,K,-0.0,0.061,-0.0,0.0,False,sp|A6NFA0|S31F3_HUMAN
A,B,-0.0,0.0002,-0.0001,-0.0,True,sp|O00186|STXB3_HUMAN
A,K,-0.0,0.0003,-0.0001,-0.0,True,sp|O00186|STXB3_HUMAN
B,K,0.0,0.9858,-0.0,0.0,False,sp|O00186|STXB3_HUMAN
A,B,-0.0001,0.0101,-0.0002,-0.0,True,sp|O00264|PGRC1_HUMAN
A,K,0.0001,0.3258,-0.0,0.0002,False,sp|O00264|PGRC1_HUMAN
B,K,0.0002,0.0001,0.0001,0.0003,True,sp|O00264|PGRC1_HUMAN
A,B,0.0,0.0135,0.0,0.0,True,sp|O00400|ACATN_HUMAN
A,K,-0.0,0.4119,-0.0,0.0,False,sp|O00400|ACATN_HUMAN
B,K,-0.0,0.0007,-0.0,-0.0,True,sp|O00400|ACATN_HUMAN
A,B,-0.0001,0.0,-0.0001,-0.0001,True,sp|O00469|PLOD2_HUMAN
A,K,-0.0001,0.0,-0.0001,-0.0,True,sp|O00469|PLOD2_HUMAN
B,K,0.0,0.7451,-0.0,0.0,False,sp|O00469|PLOD2_HUMAN
A,B,-0.0,0.0807,-0.0001,0.0,False,sp|O00629|IMA3_HUMAN
A,K,0.0,0.0186,0.0,0.0001,True,sp|O00629|IMA3_HUMAN
B,K,0.0001,0.0,0.0,0.0001,True,sp|O00629|IMA3_HUMAN
A,B,-0.0001,0.0003,-0.0001,-0.0,True,sp|O14494|PLPP1_HUMAN
A,K,-0.0,0.0031,-0.0001,-0.0,True,sp|O14494|PLPP1_HUMAN
B,K,0.0,0.7622,-0.0,0.0,False,sp|O14494|PLPP1_HUMAN
A,B,0.0,0.0001,0.0,0.0001,True,sp|O14556|G3PT_HUMAN
A,K,0.0,0.9702,-0.0,0.0,False,sp|O14556|G3PT_HUMAN
B,K,-0.0,0.0001,-0.0001,-0.0,True,sp|O14556|G3PT_HUMAN
A,B,0.0,0.2518,-0.0,0.0001,False,sp|O14907|TX1B3_HUMAN
A,K,-0.0,0.112,-0.0001,0.0,False,sp|O14907|TX1B3_HUMAN
B,K,-0.0001,0.0019,-0.0001,-0.0,True,sp|O14907|TX1B3_HUMAN
A,B,0.0,0.0016,0.0,0.0001,True,sp|O15067|PUR4_HUMAN
A,K,-0.0,0.9766,-0.0,0.0,False,sp|O15067|PUR4_HUMAN
B,K,-0.0,0.0009,-0.0001,-0.0,True,sp|O15067|PUR4_HUMAN
A,B,0.0001,0.002,0.0,0.0001,True,sp|O15155|BET1_HUMAN
A,K,0.0,0.6305,-0.0,0.0001,False,sp|O15155|BET1_HUMAN
B,K,-0.0001,0.0219,-0.0001,-0.0,True,sp|O15155|BET1_HUMAN
A,B,-0.0001,0.003,-0.0001,-0.0,True,sp|O15162|PLS1_HUMAN
A,K,-0.0001,0.0019,-0.0001,-0.0,True,sp|O15162|PLS1_HUMAN
B,K,-0.0,0.9882,-0.0,0.0,False,sp|O15162|PLS1_HUMAN
A,B,0.0001,0.0015,0.0,0.0001,True,sp|O15355|PPM1G_HUMAN
A,K,0.0,0.8526,-0.0,0.0001,False,sp|O15355|PPM1G_HUMAN
B,K,-0.0001,0.0069,-0.0001,-0.0,True,sp|O15355|PPM1G_HUMAN
A,B,-0.0,0.0,-0.0,-0.0,True,sp|O43292|GPAA1_HUMAN
A,K,-0.0,0.0135,-0.0,-0.0,True,sp|O43292|GPAA1_HUMAN
B,K,0.0,0.2807,-0.0,0.0,False,sp|O43292|GPAA1_HUMAN
A,B,0.0,0.705,-0.0,0.0,False,sp|O60716|CTND1_HUMAN
A,K,-0.0,0.001,-0.0001,-0.0,True,sp|O60716|CTND1_HUMAN
B,K,-0.0,0.0001,-0.0001,-0.0,True,sp|O60716|CTND1_HUMAN
A,B,0.0001,0.1811,-0.0,0.0002,False,sp|O75347|TBCA_HUMAN
A,K,0.0002,0.0008,0.0001,0.0003,True,sp|O75347|TBCA_HUMAN
B,K,0.0001,0.0867,-0.0,0.0002,False,sp|O75347|TBCA_HUMAN
A,B,-0.0001,0.0,-0.0001,-0.0,True,sp|O75487|GPC4_HUMAN
A,K,-0.0,0.0035,-0.0001,-0.0,True,sp|O75487|GPC4_HUMAN
B,K,0.0,0.0404,0.0,0.0,True,sp|O75487|GPC4_HUMAN
A,B,-0.0001,0.0002,-0.0001,-0.0,True,sp|O75525|KHDR3_HUMAN
A,K,-0.0,0.0203,-0.0001,-0.0,True,sp|O75525|KHDR3_HUMAN
B,K,0.0,0.0427,0.0,0.0001,True,sp|O75525|KHDR3_HUMAN
A,B,0.0001,0.0209,0.0,0.0001,True,sp|O75534|CSDE1_HUMAN
A,K,0.0001,0.0006,0.0,0.0001,True,sp|O75534|CSDE1_HUMAN
B,K,0.0,0.418,-0.0,0.0001,False,sp|O75534|CSDE1_HUMAN
A,B,0.0,0.6783,-0.0,0.0,False,sp|O75608|LYPA1_HUMAN
A,K,0.0,0.001,0.0,0.0001,True,sp|O75608|LYPA1_HUMAN
B,K,0.0,0.0051,0.0,0.0001,True,sp|O75608|LYPA1_HUMAN
A,B,0.0,0.0201,0.0,0.0,True,sp|O75691|UTP20_HUMAN
A,K,-0.0,0.6004,-0.0,0.0,False,sp|O75691|UTP20_HUMAN
B,K,-0.0,0.0024,-0.0,-0.0,True,sp|O75691|UTP20_HUMAN
A,B,-0.0,0.0016,-0.0001,-0.0,True,sp|O75695|XRP2_HUMAN
A,K,-0.0,0.7941,-0.0,0.0,False,sp|O75695|XRP2_HUMAN
B,K,0.0,0.008,0.0,0.0001,True,sp|O75695|XRP2_HUMAN
A,B,-0.0,0.5388,-0.0,0.0,False,sp|O94911|ABCA8_HUMAN
A,K,0.0,0.0002,0.0,0.0001,True,sp|O94911|ABCA8_HUMAN
B,K,0.0,0.0001,0.0,0.0001,True,sp|O94911|ABCA8_HUMAN
A,B,-0.0001,0.0002,-0.0001,-0.0,True,sp|O95084|PRS23_HUMAN
A,K,-0.0001,0.025,-0.0001,-0.0,True,sp|O95084|PRS23_HUMAN
B,K,0.0,0.3707,-0.0,0.0001,False,sp|O95084|PRS23_HUMAN
A,B,0.0,0.84,-0.0001,0.0001,False,sp|O95167|NDUA3_HUMAN
A,K,-0.0001,0.006,-0.0002,-0.0,True,sp|O95167|NDUA3_HUMAN
B,K,-0.0001,0.0015,-0.0002,-0.0,True,sp|O95167|NDUA3_HUMAN
A,B,0.0,0.746,-0.0,0.0001,False,sp|O95169|NDUB8_HUMAN
A,K,-0.0001,0.0101,-0.0001,-0.0,True,sp|O95169|NDUB8_HUMAN
B,K,-0.0001,0.0013,-0.0001,-0.0,True,sp|O95169|NDUB8_HUMAN
A,B,-0.0,0.3849,-0.0001,0.0,False,sp|O95249|GOSR1_HUMAN
A,K,0.0,0.0389,0.0,0.0001,True,sp|O95249|GOSR1_HUMAN
B,K,0.0001,0.0014,0.0,0.0001,True,sp|O95249|GOSR1_HUMAN
A,B,-0.0,0.0001,-0.0001,-0.0,True,sp|O95319|CELF2_HUMAN
A,K,-0.0,0.0241,-0.0,-0.0,True,sp|O95319|CELF2_HUMAN
B,K,0.0,0.0085,0.0,0.0,True,sp|O95319|CELF2_HUMAN
A,B,-0.0,0.0474,-0.0,-0.0,True,sp|O95456|PSMG1_HUMAN
A,K,0.0,0.1059,-0.0,0.0,False,sp|O95456|PSMG1_HUMAN
B,K,0.0,0.0001,0.0,0.0001,True,sp|O95456|PSMG1_HUMAN
A,B,0.0,0.0055,0.0,0.0,True,sp|O95478|NSA2_HUMAN
A,K,0.0,0.9923,-0.0,0.0,False,sp|O95478|NSA2_HUMAN
B,K,-0.0,0.0007,-0.0,-0.0,True,sp|O95478|NSA2_HUMAN
A,B,-0.0001,0.0014,-0.0002,-0.0,True,sp|O95571|ETHE1_HUMAN
A,K,-0.0,0.1413,-0.0001,0.0,False,sp|O95571|ETHE1_HUMAN
B,K,0.0,0.1657,-0.0,0.0001,False,sp|O95571|ETHE1_HUMAN
A,B,0.0,0.0,0.0,0.0,True,sp|O95661|DIRA3_HUMAN
A,K,0.0,0.8794,-0.0,0.0,False,sp|O95661|DIRA3_HUMAN
B,K,-0.0,0.0,-0.0,-0.0,True,sp|O95661|DIRA3_HUMAN
A,B,0.0001,0.0021,0.0,0.0001,True,sp|O95721|SNP29_HUMAN
A,K,0.0,0.4427,-0.0,0.0001,False,sp|O95721|SNP29_HUMAN
B,K,-0.0,0.0499,-0.0001,-0.0,True,sp|O95721|SNP29_HUMAN
A,B,-0.0001,0.2095,-0.0001,0.0,False,sp|P00167|CYB5_HUMAN
A,K,0.0001,0.0599,-0.0,0.0002,False,sp|P00167|CYB5_HUMAN
B,K,0.0001,0.0006,0.0001,0.0002,True,sp|P00167|CYB5_HUMAN
A,B,0.0004,0.0001,0.0002,0.0005,True,sp|P00966|ASSY_HUMAN
A,K,0.0,0.9713,-0.0001,0.0002,False,sp|P00966|ASSY_HUMAN
B,K,-0.0004,0.0002,-0.0005,-0.0002,True,sp|P00966|ASSY_HUMAN
A,B,-0.0001,0.0008,-0.0002,-0.0001,True,sp|P01889|HLAB_HUMAN
A,K,-0.0002,0.0,-0.0003,-0.0001,True,sp|P01889|HLAB_HUMAN
B,K,-0.0,0.4642,-0.0001,0.0,False,sp|P01889|HLAB_HUMAN
A,B,-0.0002,0.0009,-0.0003,-0.0001,True,sp|P02545|LMNA_HUMAN
A,K,-0.0001,0.3969,-0.0002,0.0,False,sp|P02545|LMNA_HUMAN
B,K,0.0001,0.0319,0.0,0.0002,True,sp|P02545|LMNA_HUMAN
A,B,-0.0,0.9605,-0.0001,0.0,False,sp|P02792|FRIL_HUMAN
A,K,0.0001,0.004,0.0,0.0001,True,sp|P02792|FRIL_HUMAN
B,K,0.0001,0.0007,0.0,0.0001,True,sp|P02792|FRIL_HUMAN
A,B,-0.0001,0.0012,-0.0001,-0.0,True,sp|P03956|MMP1_HUMAN
A,K,-0.0,0.0587,-0.0001,0.0,False,sp|P03956|MMP1_HUMAN
B,K,0.0,0.112,-0.0,0.0001,False,sp|P03956|MMP1_HUMAN
A,B,-0.0,0.0067,-0.0,-0.0,True,sp|P04004|VTNC_HUMAN
A,K,-0.0,0.0,-0.0,-0.0,True,sp|P04004|VTNC_HUMAN
B,K,-0.0,0.0815,-0.0,0.0,False,sp|P04004|VTNC_HUMAN
A,B,-0.0001,0.0002,-0.0002,-0.0001,True,sp|P04062|GBA1_HUMAN
A,K,-0.0001,0.0758,-0.0001,0.0,False,sp|P04062|GBA1_HUMAN
B,K,0.0001,0.0735,-0.0,0.0001,False,sp|P04062|GBA1_HUMAN
A,B,0.0001,0.452,-0.0001,0.0002,False,sp|P04271|S100B_HUMAN
A,K,-0.0001,0.0079,-0.0002,-0.0,True,sp|P04271|S100B_HUMAN
B,K,-0.0002,0.0005,-0.0003,-0.0001,True,sp|P04271|S100B_HUMAN
A,B,0.0003,0.0026,0.0002,0.0005,True,sp|P04350|TBB4A_HUMAN
A,K,0.0004,0.0012,0.0002,0.0006,True,sp|P04350|TBB4A_HUMAN
B,K,0.0001,0.653,-0.0001,0.0002,False,sp|P04350|TBB4A_HUMAN
A,B,0.0008,0.0009,0.0003,0.0013,True,sp|P04406|G3P_HUMAN
